label	suggested	rule	source	category	left	right	stratum	mechanism	sim	canonical	evidence
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0113	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0114	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0168	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0180	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0184	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0188	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0198	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0210	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0212	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0018	UAC-0215	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0041	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0050	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0057	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0102	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0120	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0026	UAC-0125	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0041	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0050	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0056	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0102	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0120	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0125	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0027	UAC-0177	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0041	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0050	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0056	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0057	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0102	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0118	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0120	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0125	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0168	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0188	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0198	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0028	UAC-0218	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0050	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0056	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0057	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0101	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0104	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0140	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0142	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0145	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0041	UAC-0149	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0120	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0140	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0154	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0170	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0180	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0200	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0050	UAC-0210	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0056	UAC-0154	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0063	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0154	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0057	UAC-0177	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0082	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0088	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0113	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0133	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0165	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0168	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0063	UAC-0173	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0098	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0102	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0132	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0142	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0180	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0184	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0188	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0082	UAC-0212	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0094	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0096	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0097	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0099	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0118	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0168	a	edit-similarity	0.75		
different	different	differing-digits	string	HackerGroup	UAC-0088	UAC-0180	a	edit-similarity	0.75		
